company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_intensity_pct,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,cfo_pat_ratio,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,sector,industry,company_name
SBIN,2024,15.83441297482405,-13.729168991026642,,,,,0.3660986540179259,,18156.0,0.791458802474561,75.0,465.0,18.0,,21632.0,0.31105934457817463,11.63380022632805,83.4069542329295,90.36539387158786,66.66666666666667,Financials,Public Sector Banks,State Bank of India
TECHM,2024,4.60996999769213,8.666051234710363,9.063752552370868,15.821073698254978,5.596936512013449,0.07694925508583529,13.85969387755102,1.2140939127186121,5058.0,2.5348103700284637,24.0,270.0,150.0,2035.0,6376.0,2.6599916562369628,8.398437919098868,-10.985163688218591,-11.416728965524282,66.66666666666667,Information Technology,IT Services,Tech Mahindra Ltd
CANBK,2024,13.935160470145405,41.753906568101414,16.716051794688113,3.15654898752525,1.0033107103630055,14.867419925542423,1.6106611743349857,0.0719985042520674,13296.0,1.583438141857961,17.0,102.0,19.0,1369780.0,15046.0,0.9769495487306019,18.17561078322378,85.7752850068174,53.4206382524911,63.333333333333336,Financials,Public Sector Banks,Canara Bank
DLF,2024,42.38369379181578,33.04807841916913,6.771571332687001,4.7712109980456905,4.352897937007622,0.1066447908121411,7.457865168539326,0.10270218443886928,1010.0,23.79025984129454,11.0,163.0,45.0,4290.0,2539.0,0.9320851688693098,-5.136730668466605,15.697066513836644,12.888132073019754,63.333333333333336,Real Estate,Real Estate,DLF Ltd
NHPC,2024,41.81893687707641,49.90656146179402,10.032628458990262,6.464583977729663,4.123626907996438,0.8520760168372812,11.243421052631579,0.09860668912070925,970.0,61.96013289036545,4.0,40.0,53.0,34210.0,6938.0,1.7224428997020853,1.404917217643753,7.269596517101484,5.922384104881218,63.333333333333336,Energy,Power & Utilities,"NHPC Ltd
"
ICICIBANK,2024,28.888011233982798,62.41380175029464,17.99027109750765,5.2203495054405735,1.9492289334082888,6.445624336310825,1.3009461331381824,0.06747535915921023,12547.0,90.7350986734873,63.0,365.0,16.0,1651008.0,157284.0,3.4132071786636575,17.25086850260209,51.94877118224903,55.18455739153598,60.0,Financials,Private Banks,ICICI Bank Ltd
IRFC,2024,24.064552448864703,99.50459748545694,12.458952686291655,5.8324680581464925,1.2970619887204964,7.832721266880404,1.3194865927068304,0.05389927743209237,7906.0,0.030024394820791892,5.0,39.0,31.0,403111.0,7914.0,1.2342482844666252,19.06740855567788,23.245023933940367,20.11244339814313,56.666666666666664,Financials,Speciality Finance,Indian Railway Finance Corporation Ltd
KOTAKBANK,2024,32.386151466116615,83.66733645109092,14.013018188532914,7.234918028249577,2.372513081844081,4.003739266919029,1.2363751084470385,0.07325702420450533,6766.0,15.859665344879707,92.0,654.0,2.0,520374.0,15685.0,0.8611980453522209,13.51960376324537,20.38200065626572,19.344070441601247,56.666666666666664,Financials,Private Banks,"Kotak Mahindra Bank Ltd
"
HDFCBANK,2024,23.07288232992184,61.41252040373843,14.33974005030719,4.887792835880029,1.6238920508541275,6.808786667718385,1.4007688224792112,0.07038097917866981,35669.0,5.852303374945795,84.0,601.0,23.0,3107503.0,19069.0,0.2913699844146319,21.95098428169122,23.865063572879073,15.424788082530828,53.333333333333336,Financials,Private Banks,HDFC Bank Ltd
TATASTEEL,2024,-2.1425049417247384,9.70803461170916,-5.44665934529158,11.737953666527732,-1.7483202238989322,1.1025547161857854,2.1634256792754396,0.8160168921204525,6048.0,6.219373306395661,-4.0,72.0,-101.0,99392.0,20301.0,-4.134623217922607,7.766224835881497,,,52.0,Materials,Steel,"Tata Steel Ltd
"
