metric,metric_label,P10,P25,P50,P75,P90,Mean,Std,Company_Count
return_on_equity_pct,ROE (%),7.352687057197166,11.45610353418029,15.973097940311053,23.361496349410675,38.84632576899488,116.58328474216299,598.0644435881187,91
return_on_capital_employed_pct,ROCE (%),3.2765473301557777,9.415818546447111,18.32152968895827,32.225732142843825,110.91482855557157,166.39136898627032,714.7032370196823,90
operating_profit_margin_pct,OPM (%),9.837909494446341,16.008217692276524,25.833656455990695,40.154298741775634,84.04312668463612,34.668914632997186,27.512220711640186,91
return_on_assets_pct,ROA (%),1.1402758683204666,2.3744586890100807,6.187640390743352,12.7232631226797,18.857297957521883,52.341953226027485,255.61915420702644,91
debt_to_equity,Debt / Equity,0.004039008317168443,0.04304255402783464,0.3935897435897436,1.679724951052548,6.445624336310825,1.6416950103637031,2.837141533488454,91
interest_coverage,Interest Coverage,1.6106611743349857,3.179969072942309,11.355507351168956,58.089466998549725,192.2895238095238,126.12959168132556,485.94073384579076,91
revenue_cagr_5yr,Revenue CAGR 5Y (%),5.838805854237616,8.440832121892061,11.836370175898114,17.183239296281414,21.08864867789759,12.950318100413172,7.382205385459933,91
pat_cagr_5yr,PAT CAGR 5Y (%),4.3594698195265895,9.86465271466127,16.2781059479576,23.77712800024647,39.277589291381965,21.10741265835075,21.548470489755804,84
eps_cagr_5yr,EPS CAGR 5Y (%),3.5558153809400497,9.179239288916797,14.869835499703509,22.05389168656197,31.639008770631808,18.99588938745536,20.199021958143714,83
fcf_cagr_5yr,FCF CAGR 5Y (%),-5.002096841865733,6.251750529498334,14.697791723983645,21.815309313801112,32.28517405641733,13.501633507257525,20.06958215745916,41
