company_id,year,calculated_roe,calculated_roce,source_roe,source_roce,debt_to_equity,high_leverage_flag,sector,industry,roe_difference_pct_points,roce_difference_pct_points,roe_category,roce_category,edge_case_type
ADANIENT,2019,3.429113580916238,7.57336820646948,13.64,11.6,0.7619273515857956,0,Industrials,Conglomerates,10.210886419083764,4.02663179353052,MATERIAL_DIFFERENCE,WITHIN_5_PERCENTAGE_POINTS,ROE_SOURCE_ANOMALY
ADANIENT,2020,6.136779370980115,7.811755090921474,13.64,11.6,0.7328140673865581,0,Industrials,Conglomerates,7.503220629019886,3.788244909078526,MODERATE_DIFFERENCE,WITHIN_5_PERCENTAGE_POINTS,ROE_SOURCE_ANOMALY
ADANIENT,2021,6.0959263360335685,7.506140298328641,13.64,11.6,0.9456844804475786,0,Industrials,Conglomerates,7.544073663966432,4.0938597016713585,MODERATE_DIFFERENCE,WITHIN_5_PERCENTAGE_POINTS,ROE_SOURCE_ANOMALY
ADANIENT,2022,3.5404591813811384,5.815756095269413,13.64,11.6,1.8692546165251382,0,Industrials,Conglomerates,10.099540818618863,5.7842439047305865,MATERIAL_DIFFERENCE,MODERATE_DIFFERENCE,ROE_AND_ROCE_DIFFERENCE
ADANIENT,2023,7.328068742246831,10.223649580874424,13.64,11.6,1.6096335965628876,0,Industrials,Conglomerates,6.311931257753169,1.3763504191255755,MODERATE_DIFFERENCE,WITHIN_5_PERCENTAGE_POINTS,ROE_SOURCE_ANOMALY
ADANIENT,2024,7.960187130036281,9.300785624943797,13.64,11.6,1.91968206988734,0,Industrials,Conglomerates,5.67981286996372,2.299214375056202,MODERATE_DIFFERENCE,WITHIN_5_PERCENTAGE_POINTS,ROE_SOURCE_ANOMALY
ADANIGREEN,2017,-3.906899418121363,7.261261261261261,14.7,96.5,3.6134663341645887,0,Energy,Renewable Energy,18.606899418121362,89.23873873873873,MATERIAL_DIFFERENCE,MATERIAL_DIFFERENCE,ROE_AND_ROCE_DIFFERENCE
ADANIGREEN,2018,-10.290827740492169,7.523427041499331,14.7,96.5,7.355704697986577,1,Energy,Renewable Energy,24.99082774049217,88.97657295850067,MATERIAL_DIFFERENCE,MATERIAL_DIFFERENCE,ROE_AND_ROCE_DIFFERENCE
ADANIGREEN,2019,-24.573202276254527,11.671128107074571,14.7,96.5,5.764097258147957,1,Energy,Renewable Energy,39.27320227625452,84.82887189292543,MATERIAL_DIFFERENCE,MATERIAL_DIFFERENCE,ROE_AND_ROCE_DIFFERENCE
ADANIGREEN,2020,-2.8850233347475602,8.418974626952332,14.7,96.5,6.307170131523122,1,Energy,Renewable Energy,17.58502333474756,88.08102537304767,MATERIAL_DIFFERENCE,MATERIAL_DIFFERENCE,ROE_AND_ROCE_DIFFERENCE
ADANIGREEN,2021,8.272727272727273,8.485743496535273,14.7,96.5,11.004090909090909,1,Energy,Renewable Energy,6.427272727272726,88.01425650346472,MODERATE_DIFFERENCE,MATERIAL_DIFFERENCE,ROE_AND_ROCE_DIFFERENCE
ADANIGREEN,2022,18.706962509563887,6.334090827111064,14.7,96.5,20.211170619739864,1,Energy,Renewable Energy,4.006962509563888,90.16590917288893,WITHIN_5_PERCENTAGE_POINTS,MATERIAL_DIFFERENCE,ROCE_SOURCE_ANOMALY
ADANIGREEN,2023,13.321467688937568,8.07775448177223,14.7,96.5,7.423740416210296,1,Energy,Renewable Energy,1.3785323110624308,88.42224551822777,WITHIN_5_PERCENTAGE_POINTS,MATERIAL_DIFFERENCE,ROCE_SOURCE_ANOMALY
ADANIGREEN,2024,11.913767019667171,9.381329641309643,14.7,96.5,6.375756429652042,1,Energy,Renewable Energy,2.7862329803328283,87.11867035869035,WITHIN_5_PERCENTAGE_POINTS,MATERIAL_DIFFERENCE,ROCE_SOURCE_ANOMALY
ADANIPORTS,2013,25.633406318423525,13.22304873986899,18.1,12.9,1.817328745699093,0,Industrials,Infrastructure,7.533406318423523,0.3230487398689892,MODERATE_DIFFERENCE,WITHIN_5_PERCENTAGE_POINTS,ROE_SOURCE_ANOMALY
ADANIPORTS,2022,11.843332297171278,10.615446321137306,18.1,12.9,1.1461944955883407,0,Industrials,Infrastructure,6.256667702828723,2.284553678862695,MODERATE_DIFFERENCE,WITHIN_5_PERCENTAGE_POINTS,ROE_SOURCE_ANOMALY
ADANIPORTS,2023,11.8773271056864,11.077380771682705,18.1,12.9,1.1772455881380952,0,Industrials,Infrastructure,6.222672894313602,1.8226192283172953,MODERATE_DIFFERENCE,WITHIN_5_PERCENTAGE_POINTS,ROE_SOURCE_ANOMALY
ADANIPOWER,2013,-53.459119496855344,2.0829717063009894,57.1,32.2,9.735616119263918,1,Energy,Power & Utilities,110.55911949685535,30.117028293699015,MATERIAL_DIFFERENCE,MATERIAL_DIFFERENCE,ROE_AND_ROCE_DIFFERENCE
ADANIPOWER,2014,-4.447501146263182,9.060422543546446,57.1,32.2,6.747669264863212,1,Energy,Power & Utilities,61.54750114626319,23.13957745645356,MATERIAL_DIFFERENCE,MATERIAL_DIFFERENCE,ROE_AND_ROCE_DIFFERENCE
ADANIPOWER,2015,-14.253275109170305,9.26942358372798,57.1,32.2,7.815196506550218,1,Energy,Power & Utilities,71.35327510917031,22.930576416272025,MATERIAL_DIFFERENCE,MATERIAL_DIFFERENCE,ROE_AND_ROCE_DIFFERENCE
